startTime,settlementDate,fuelType,actual_generation,cutoff_time,publishTime,forecast_generation,effective_horizon_hours,error_mw,abs_error_mw
2024-01-08 22:30:00+00:00,2024-01-08,WIND,11782,2024-01-08 10:30:00+00:00,,,,,
2024-01-08 23:00:00+00:00,2024-01-08,WIND,11895,2024-01-08 11:00:00+00:00,2024-01-08 09:30:00+00:00,9120.0,13.5,-2775.0,2775.0
2024-01-08 23:30:00+00:00,2024-01-08,WIND,11909,2024-01-08 11:30:00+00:00,,,,,
2024-01-09 00:00:00+00:00,2024-01-09,WIND,11819,2024-01-08 12:00:00+00:00,2024-01-08 11:30:00+00:00,8971.0,12.5,-2848.0,2848.0
2024-01-09 00:30:00+00:00,2024-01-09,WIND,11652,2024-01-08 12:30:00+00:00,,,,,
2024-01-09 01:00:00+00:00,2024-01-09,WIND,11440,2024-01-08 13:00:00+00:00,2024-01-08 11:30:00+00:00,8796.0,13.5,-2644.0,2644.0
2024-01-09 01:30:00+00:00,2024-01-09,WIND,11277,2024-01-08 13:30:00+00:00,,,,,
2024-01-09 02:00:00+00:00,2024-01-09,WIND,11298,2024-01-08 14:00:00+00:00,2024-01-08 11:30:00+00:00,8707.0,14.5,-2591.0,2591.0
2024-01-09 02:30:00+00:00,2024-01-09,WIND,11381,2024-01-08 14:30:00+00:00,,,,,
2024-01-09 03:00:00+00:00,2024-01-09,WIND,11356,2024-01-08 15:00:00+00:00,2024-01-08 11:30:00+00:00,8470.0,15.5,-2886.0,2886.0
2024-01-09 03:30:00+00:00,2024-01-09,WIND,11480,2024-01-08 15:30:00+00:00,,,,,
2024-01-09 04:00:00+00:00,2024-01-09,WIND,11574,2024-01-08 16:00:00+00:00,2024-01-08 15:30:00+00:00,8518.0,12.5,-3056.0,3056.0
2024-01-09 04:30:00+00:00,2024-01-09,WIND,11558,2024-01-08 16:30:00+00:00,,,,,
2024-01-09 05:00:00+00:00,2024-01-09,WIND,11483,2024-01-08 17:00:00+00:00,2024-01-08 15:30:00+00:00,8598.0,13.5,-2885.0,2885.0
2024-01-09 05:30:00+00:00,2024-01-09,WIND,11558,2024-01-08 17:30:00+00:00,,,,,
2024-01-09 06:00:00+00:00,2024-01-09,WIND,11659,2024-01-08 18:00:00+00:00,2024-01-08 15:30:00+00:00,8723.0,14.5,-2936.0,2936.0
2024-01-09 06:30:00+00:00,2024-01-09,WIND,11944,2024-01-08 18:30:00+00:00,,,,,
2024-01-09 07:00:00+00:00,2024-01-09,WIND,12192,2024-01-08 19:00:00+00:00,2024-01-08 18:30:00+00:00,9177.0,12.5,-3015.0,3015.0
2024-01-09 07:30:00+00:00,2024-01-09,WIND,12320,2024-01-08 19:30:00+00:00,,,,,
2024-01-09 08:00:00+00:00,2024-01-09,WIND,12298,2024-01-08 20:00:00+00:00,2024-01-08 18:30:00+00:00,9321.0,13.5,-2977.0,2977.0
2024-01-09 08:30:00+00:00,2024-01-09,WIND,12385,2024-01-08 20:30:00+00:00,,,,,
2024-01-09 09:00:00+00:00,2024-01-09,WIND,12411,2024-01-08 21:00:00+00:00,2024-01-08 18:30:00+00:00,9415.0,14.5,-2996.0,2996.0
2024-01-09 09:30:00+00:00,2024-01-09,WIND,12380,2024-01-08 21:30:00+00:00,,,,,
2024-01-09 10:00:00+00:00,2024-01-09,WIND,12481,2024-01-08 22:00:00+00:00,2024-01-08 18:30:00+00:00,9488.0,15.5,-2993.0,2993.0
2024-01-09 10:30:00+00:00,2024-01-09,WIND,12374,2024-01-08 22:30:00+00:00,,,,,
2024-01-09 11:00:00+00:00,2024-01-09,WIND,12275,2024-01-08 23:00:00+00:00,2024-01-08 22:30:00+00:00,9371.0,12.5,-2904.0,2904.0
2024-01-09 11:30:00+00:00,2024-01-09,WIND,12042,2024-01-08 23:30:00+00:00,,,,,
2024-01-09 12:00:00+00:00,2024-01-09,WIND,11866,2024-01-09 00:00:00+00:00,2024-01-08 22:30:00+00:00,9182.0,13.5,-2684.0,2684.0
2024-01-09 12:30:00+00:00,2024-01-09,WIND,11886,2024-01-09 00:30:00+00:00,,,,,
2024-01-09 13:00:00+00:00,2024-01-09,WIND,11806,2024-01-09 01:00:00+00:00,2024-01-08 22:30:00+00:00,9130.0,14.5,-2676.0,2676.0
2024-01-09 13:30:00+00:00,2024-01-09,WIND,11550,2024-01-09 01:30:00+00:00,,,,,
2024-01-09 14:00:00+00:00,2024-01-09,WIND,11493,2024-01-09 02:00:00+00:00,2024-01-08 22:30:00+00:00,9037.0,15.5,-2456.0,2456.0
2024-01-09 14:30:00+00:00,2024-01-09,WIND,11161,2024-01-09 02:30:00+00:00,,,,,
2024-01-09 15:00:00+00:00,2024-01-09,WIND,10939,2024-01-09 03:00:00+00:00,2024-01-08 22:30:00+00:00,8963.0,16.5,-1976.0,1976.0
2024-01-09 15:30:00+00:00,2024-01-09,WIND,11024,2024-01-09 03:30:00+00:00,,,,,
2024-01-09 16:00:00+00:00,2024-01-09,WIND,11052,2024-01-09 04:00:00+00:00,2024-01-08 22:30:00+00:00,9115.0,17.5,-1937.0,1937.0
2024-01-09 16:30:00+00:00,2024-01-09,WIND,11000,2024-01-09 04:30:00+00:00,,,,,
2024-01-09 17:00:00+00:00,2024-01-09,WIND,11135,2024-01-09 05:00:00+00:00,2024-01-08 22:30:00+00:00,9363.0,18.5,-1772.0,1772.0
2024-01-09 17:30:00+00:00,2024-01-09,WIND,11313,2024-01-09 05:30:00+00:00,,,,,
2024-01-09 18:00:00+00:00,2024-01-09,WIND,11240,2024-01-09 06:00:00+00:00,2024-01-08 22:30:00+00:00,9325.0,19.5,-1915.0,1915.0
2024-01-09 18:30:00+00:00,2024-01-09,WIND,11395,2024-01-09 06:30:00+00:00,,,,,
2024-01-09 19:00:00+00:00,2024-01-09,WIND,11476,2024-01-09 07:00:00+00:00,2024-01-08 22:30:00+00:00,9033.0,20.5,-2443.0,2443.0
2024-01-09 19:30:00+00:00,2024-01-09,WIND,11504,2024-01-09 07:30:00+00:00,,,,,
2024-01-09 20:00:00+00:00,2024-01-09,WIND,11428,2024-01-09 08:00:00+00:00,2024-01-08 22:30:00+00:00,8697.0,21.5,-2731.0,2731.0
2024-01-09 20:30:00+00:00,2024-01-09,WIND,11228,2024-01-09 08:30:00+00:00,,,,,
2024-01-09 21:00:00+00:00,2024-01-09,WIND,11128,2024-01-09 09:00:00+00:00,2024-01-09 07:30:00+00:00,8796.0,13.5,-2332.0,2332.0
2024-01-09 21:30:00+00:00,2024-01-09,WIND,10915,2024-01-09 09:30:00+00:00,,,,,
2024-01-09 22:00:00+00:00,2024-01-09,WIND,11005,2024-01-09 10:00:00+00:00,2024-01-09 09:30:00+00:00,8338.0,12.5,-2667.0,2667.0
2024-01-09 22:30:00+00:00,2024-01-09,WIND,10866,2024-01-09 10:30:00+00:00,,,,,
2024-01-09 23:00:00+00:00,2024-01-09,WIND,10685,2024-01-09 11:00:00+00:00,2024-01-09 09:30:00+00:00,8092.0,13.5,-2593.0,2593.0
2024-01-09 23:30:00+00:00,2024-01-09,WIND,10364,2024-01-09 11:30:00+00:00,,,,,
2024-01-10 00:00:00+00:00,2024-01-10,WIND,10003,2024-01-09 12:00:00+00:00,2024-01-09 11:30:00+00:00,7829.0,12.5,-2174.0,2174.0
2024-01-10 00:30:00+00:00,2024-01-10,WIND,9663,2024-01-09 12:30:00+00:00,,,,,
2024-01-10 01:00:00+00:00,2024-01-10,WIND,9662,2024-01-09 13:00:00+00:00,2024-01-09 11:30:00+00:00,7575.0,13.5,-2087.0,2087.0
2024-01-10 01:30:00+00:00,2024-01-10,WIND,9498,2024-01-09 13:30:00+00:00,,,,,
2024-01-10 02:00:00+00:00,2024-01-10,WIND,8765,2024-01-09 14:00:00+00:00,2024-01-09 11:30:00+00:00,7367.0,14.5,-1398.0,1398.0
2024-01-10 02:30:00+00:00,2024-01-10,WIND,8269,2024-01-09 14:30:00+00:00,,,,,
2024-01-10 03:00:00+00:00,2024-01-10,WIND,7933,2024-01-09 15:00:00+00:00,2024-01-09 11:30:00+00:00,6960.0,15.5,-973.0,973.0
2024-01-10 03:30:00+00:00,2024-01-10,WIND,7910,2024-01-09 15:30:00+00:00,,,,,
2024-01-10 04:00:00+00:00,2024-01-10,WIND,7728,2024-01-09 16:00:00+00:00,2024-01-09 15:30:00+00:00,6933.0,12.5,-795.0,795.0
2024-01-10 04:30:00+00:00,2024-01-10,WIND,7581,2024-01-09 16:30:00+00:00,,,,,
2024-01-10 05:00:00+00:00,2024-01-10,WIND,7538,2024-01-09 17:00:00+00:00,2024-01-09 15:30:00+00:00,6867.0,13.5,-671.0,671.0
2024-01-10 05:30:00+00:00,2024-01-10,WIND,7423,2024-01-09 17:30:00+00:00,,,,,
2024-01-10 06:00:00+00:00,2024-01-10,WIND,7277,2024-01-09 18:00:00+00:00,2024-01-09 15:30:00+00:00,6900.0,14.5,-377.0,377.0
2024-01-10 06:30:00+00:00,2024-01-10,WIND,7070,2024-01-09 18:30:00+00:00,,,,,
2024-01-10 07:00:00+00:00,2024-01-10,WIND,6908,2024-01-09 19:00:00+00:00,2024-01-09 18:30:00+00:00,6727.0,12.5,-181.0,181.0
2024-01-10 07:30:00+00:00,2024-01-10,WIND,6740,2024-01-09 19:30:00+00:00,,,,,
2024-01-10 08:00:00+00:00,2024-01-10,WIND,6625,2024-01-09 20:00:00+00:00,2024-01-09 18:30:00+00:00,6622.0,13.5,-3.0,3.0
2024-01-10 08:30:00+00:00,2024-01-10,WIND,6547,2024-01-09 20:30:00+00:00,,,,,
2024-01-10 09:00:00+00:00,2024-01-10,WIND,6420,2024-01-09 21:00:00+00:00,2024-01-09 18:30:00+00:00,6510.0,14.5,90.0,90.0
2024-01-10 09:30:00+00:00,2024-01-10,WIND,6497,2024-01-09 21:30:00+00:00,,,,,
2024-01-10 10:00:00+00:00,2024-01-10,WIND,6564,2024-01-09 22:00:00+00:00,2024-01-09 18:30:00+00:00,6358.0,15.5,-206.0,206.0
2024-01-10 10:30:00+00:00,2024-01-10,WIND,6734,2024-01-09 22:30:00+00:00,,,,,
2024-01-10 11:00:00+00:00,2024-01-10,WIND,6752,2024-01-09 23:00:00+00:00,2024-01-09 22:30:00+00:00,6263.0,12.5,-489.0,489.0
2024-01-10 11:30:00+00:00,2024-01-10,WIND,6771,2024-01-09 23:30:00+00:00,,,,,
2024-01-10 12:00:00+00:00,2024-01-10,WIND,6774,2024-01-10 00:00:00+00:00,2024-01-09 22:30:00+00:00,6348.0,13.5,-426.0,426.0
2024-01-10 12:30:00+00:00,2024-01-10,WIND,6969,2024-01-10 00:30:00+00:00,,,,,
2024-01-10 13:00:00+00:00,2024-01-10,WIND,7172,2024-01-10 01:00:00+00:00,2024-01-09 22:30:00+00:00,6531.0,14.5,-641.0,641.0
2024-01-10 13:30:00+00:00,2024-01-10,WIND,7338,2024-01-10 01:30:00+00:00,,,,,
2024-01-10 14:00:00+00:00,2024-01-10,WIND,7684,2024-01-10 02:00:00+00:00,2024-01-09 22:30:00+00:00,6811.0,15.5,-873.0,873.0
2024-01-10 14:30:00+00:00,2024-01-10,WIND,7899,2024-01-10 02:30:00+00:00,,,,,
2024-01-10 15:00:00+00:00,2024-01-10,WIND,8027,2024-01-10 03:00:00+00:00,2024-01-09 22:30:00+00:00,7106.0,16.5,-921.0,921.0
2024-01-10 15:30:00+00:00,2024-01-10,WIND,8042,2024-01-10 03:30:00+00:00,,,,,
2024-01-10 16:00:00+00:00,2024-01-10,WIND,6983,2024-01-10 04:00:00+00:00,2024-01-09 22:30:00+00:00,7446.0,17.5,463.0,463.0
