publishTime,startTime,generation,horizon_hours
2024-01-01 07:30:00+00:00,2024-01-02 10:00:00+00:00,12470,26.5
2024-01-01 09:30:00+00:00,2024-01-02 10:00:00+00:00,12469,24.5
2024-01-01 11:30:00+00:00,2024-01-02 10:00:00+00:00,12472,22.5
2024-01-01 15:30:00+00:00,2024-01-02 10:00:00+00:00,12514,18.5
2024-01-01 18:30:00+00:00,2024-01-02 10:00:00+00:00,11634,15.5
2024-01-01 22:30:00+00:00,2024-01-02 10:00:00+00:00,11633,11.5
2024-01-01 02:30:00+00:00,2024-01-02 11:00:00+00:00,12102,32.5
2024-01-01 04:30:00+00:00,2024-01-02 11:00:00+00:00,12103,30.5
2024-01-01 07:30:00+00:00,2024-01-02 11:00:00+00:00,11631,27.5
2024-01-01 09:30:00+00:00,2024-01-02 11:00:00+00:00,11633,25.5
2024-01-01 11:30:00+00:00,2024-01-02 11:00:00+00:00,11633,23.5
2024-01-01 15:30:00+00:00,2024-01-02 11:00:00+00:00,11708,19.5
2024-01-01 18:30:00+00:00,2024-01-02 11:00:00+00:00,10727,16.5
2024-01-01 22:30:00+00:00,2024-01-02 11:00:00+00:00,10729,12.5
2024-01-01 02:30:00+00:00,2024-01-02 12:00:00+00:00,11534,33.5
2024-01-01 04:30:00+00:00,2024-01-02 12:00:00+00:00,11556,31.5
2024-01-01 07:30:00+00:00,2024-01-02 12:00:00+00:00,11021,28.5
2024-01-01 09:30:00+00:00,2024-01-02 12:00:00+00:00,11024,26.5
2024-01-01 11:30:00+00:00,2024-01-02 12:00:00+00:00,11018,24.5
2024-01-01 15:30:00+00:00,2024-01-02 12:00:00+00:00,11018,20.5
2024-01-01 18:30:00+00:00,2024-01-02 12:00:00+00:00,9775,17.5
2024-01-01 22:30:00+00:00,2024-01-02 12:00:00+00:00,9778,13.5
2024-01-01 02:30:00+00:00,2024-01-02 13:00:00+00:00,10820,34.5
2024-01-01 04:30:00+00:00,2024-01-02 13:00:00+00:00,10823,32.5
2024-01-01 07:30:00+00:00,2024-01-02 13:00:00+00:00,10364,29.5
2024-01-01 09:30:00+00:00,2024-01-02 13:00:00+00:00,10368,27.5
2024-01-01 11:30:00+00:00,2024-01-02 13:00:00+00:00,10362,25.5
2024-01-01 15:30:00+00:00,2024-01-02 13:00:00+00:00,10443,21.5
2024-01-01 18:30:00+00:00,2024-01-02 13:00:00+00:00,9212,18.5
2024-01-01 22:30:00+00:00,2024-01-02 13:00:00+00:00,9216,14.5
2024-01-01 02:30:00+00:00,2024-01-02 14:00:00+00:00,10413,35.5
